25725	0.00	0.00
25778	0.10	0.00
25781	-0.10	0.00
25783	-0.30	0.00
25785	0.00	0.00
25787	0.00	0.00
25790	0.00	0.00
25792	-0.10	0.00
25794	-0.10	0.00
25797	-0.50	0.00
25799	-0.30	0.00
25801	-0.30	0.00
25804	-0.30	0.00
25806	-0.10	0.00
25808	-0.10	0.00
25810	-0.10	0.00
25813	-0.10	0.00
25815	-0.10	0.00
25817	0.10	0.00
25820	-0.40	0.00
25822	-0.10	0.00
25824	-0.20	0.00
25827	-0.10	0.00
25829	-0.20	0.00
25831	-0.20	0.00
25834	-0.10	0.00
25836	-0.20	0.00
25838	-0.50	0.00
25840	0.10	0.00
25843	-0.30	0.00
25845	-0.20	0.00
25847	-0.10	0.00
25850	-0.30	0.00
25852	-0.20	0.00
25854	-0.10	0.00
25857	0.00	0.00
25859	-0.30	0.00
25861	-0.10	0.00
25864	-0.10	0.00
25866	-0.20	0.00
25868	-0.30	0.00
25870	-0.30	0.00
25873	-0.20	0.00
25875	-0.30	0.00
25877	0.00	0.00
25880	0.00	0.00
25882	0.00	0.00
25884	0.00	0.00
25887	0.00	0.00
25889	0.00	0.00
25891	-0.20	0.00
25893	-0.30	0.00
25896	-0.20	0.00
25898	-0.20	0.00
25900	-0.30	0.00
25903	-0.10	0.00
25905	-0.10	0.00
25907	-0.20	0.00
25910	-0.30	0.00
25912	-0.20	0.00
25914	-0.30	0.00
25917	0.00	0.00
25919	-0.10	0.00
25921	-0.30	0.00
25923	-0.30	0.00
25926	-0.20	0.00
25928	-0.30	0.00
25930	-0.20	0.00
25933	-0.20	0.00
25935	-0.20	0.00
25937	-0.30	0.00
25940	-0.40	0.00
25942	0.00	0.00
25944	0.00	0.00
25947	-0.10	0.00
25949	0.00	0.00
25951	-0.30	0.00
25953	-0.30	0.00
25956	-0.30	0.00
25958	-0.20	0.00
25960	-0.10	0.00
25963	-0.10	0.00
25965	-0.10	0.00
25967	-0.20	0.00
25970	-0.20	0.00
25972	0.10	0.00
25974	-0.30	0.00
25977	0.00	0.00
25979	-0.10	0.00
25981	-0.40	0.00
25983	-0.10	0.00
25986	-0.10	0.00
25988	0.10	0.00
25990	-0.10	0.00
25993	0.00	0.00
25995	-0.10	0.00
25997	-0.10	0.00
26000	-0.20	0.00
26002	-0.10	0.00
26004	0.10	0.00
26006	-0.10	0.00
26009	-0.40	0.00
26011	0.00	0.00
26013	0.10	0.00
26016	-0.20	0.00
26018	-0.20	0.00
26020	-0.10	0.00
26023	-0.10	0.00
26025	-0.10	0.00
26027	-0.10	0.00
26030	-0.30	0.00
26032	-0.10	0.00
26034	-0.10	0.00
26036	-0.10	0.00
26039	0.00	0.00
26041	-0.10	0.00
26043	-0.20	0.00
26046	-0.10	0.00
26048	-0.10	0.00
26050	0.00	0.00
26053	0.00	0.00
26055	-0.20	0.00
26057	-0.10	0.00
26060	-0.20	0.00
26062	-0.30	0.00
26064	-0.30	0.00
26066	-0.20	0.00
26069	0.20	0.00
26071	-0.10	0.00
26073	0.00	0.00
26076	-0.20	0.00
26078	0.00	0.00
26080	-0.30	0.00
26083	0.00	0.00
26085	-0.20	0.00
26087	0.10	0.00
26089	0.00	0.00
26092	-0.30	0.00
26094	-0.40	0.00
26096	-0.10	0.00
26099	-0.10	0.00
26101	-0.50	0.00
26103	-0.10	0.00
26106	0.00	0.00
26108	-0.30	0.00
26110	-0.10	0.00
26112	-0.20	0.00
26115	0.00	0.00
26117	-0.10	0.00
26119	-0.10	0.00
26122	-0.10	0.00
26124	-0.10	0.00
26126	-0.40	0.00
26129	-0.20	0.00
26131	-0.10	0.00
26133	0.00	0.00
26136	-0.10	0.00
26138	-0.30	0.00
26140	-0.20	0.00
26142	0.00	0.00
26145	-0.20	0.00
26147	-0.40	0.00
26149	-0.10	0.00
26152	-0.20	0.00
26154	-0.20	0.00
26156	0.00	0.00
26159	-0.10	0.00
26161	-0.20	0.00
26163	0.10	0.00
26165	-0.10	0.00
26168	-0.10	0.00
26170	0.20	0.00
26172	-0.20	0.00
26175	-0.10	0.00
26177	0.10	0.00
26179	-0.30	0.00
26182	-0.20	0.00
26184	-0.30	0.00
26186	0.00	0.00
26189	-0.10	0.00
26191	-0.20	0.00
26193	-0.20	0.00
26195	-0.10	0.00
26198	-0.20	0.00
26200	-0.10	0.00
26202	-0.30	0.00
26205	0.00	0.00
26207	-0.10	0.00
26209	0.00	0.00
26212	-0.40	0.00
26214	-0.10	0.00
26216	-0.10	0.00
26219	-0.20	0.00
26221	-0.10	0.00
26223	-0.30	0.00
26225	-0.20	0.00
26228	-0.20	0.00
26230	-0.20	0.00
26232	-0.30	0.00
26235	-0.30	0.00
26237	-0.10	0.00
26239	0.00	0.00
26242	-0.10	0.00
26244	-0.20	0.00
26246	-0.20	0.00
26249	0.20	0.00
26251	-0.40	0.00
26253	-0.30	0.00
26255	-0.20	0.00
26258	-0.20	0.00
26260	0.00	0.00
26262	-0.10	0.00
26265	-0.10	0.00
26267	-0.30	0.00
26269	-0.30	0.00
26272	-0.10	0.00
26274	-0.20	0.00
26276	-0.10	0.00
26279	-0.30	0.00
26281	-0.20	0.00
26283	-0.10	0.00
26285	-0.10	0.00
26288	0.10	0.00
26290	-0.30	0.00
26292	0.00	0.00
26295	0.00	0.00
26297	-0.20	0.00
26299	0.00	0.00
26302	-0.20	0.00
26304	-0.30	0.00
26306	-0.10	0.00
26308	0.00	0.00
26311	-0.20	0.00
26313	-0.10	0.00
26315	-0.10	0.00
26318	-0.50	0.00
26320	-0.10	0.00
26322	-0.50	0.00
26325	-0.40	0.00
26327	-0.20	0.00
26329	-0.20	0.00
26332	0.10	0.00
26334	0.00	0.00
26336	-0.10	0.00
26338	-0.20	0.00
26341	-0.10	0.00
26343	-0.10	0.00
26345	0.10	0.00
26348	-0.20	0.00
26350	-0.20	0.00
26352	0.10	0.00
26355	-0.40	0.00
26357	0.00	0.00
26359	-0.10	0.00
26361	-0.20	0.00
26364	-0.10	0.00
26366	-0.20	0.00
26368	-0.10	0.00
26371	0.20	0.00
26373	0.00	0.00
26375	-0.10	0.00
26378	-0.20	0.00
26380	-0.20	0.00
26382	-0.30	0.00
26384	-0.30	0.00
26387	-0.20	0.00
26389	-0.30	0.00
26391	-0.10	0.00
26394	-0.20	0.00
26396	0.20	0.00
26398	0.00	0.00
26401	-0.20	0.00
26403	-0.10	0.00
26405	0.10	0.00
26408	-0.20	0.00
26410	-0.30	0.00
26412	-0.40	0.00
26414	-0.10	0.00
26417	-0.10	0.00
26419	-0.10	0.00
26421	0.00	0.00
26424	-0.20	0.00
26426	0.00	0.00
26428	0.10	0.00
26431	-0.20	0.00
26433	-0.10	0.00
26435	-0.20	0.00
26437	-0.10	0.00
26440	-0.20	0.00
26442	-0.20	0.00
26444	-0.20	0.00
26447	-0.30	0.00
26449	-0.30	0.00
26451	0.00	0.00
26454	-0.20	0.00
26456	-0.10	0.00
26458	0.00	0.00
26461	-0.20	0.00
26463	-0.50	0.00
26465	0.00	0.00
26467	0.00	0.00
26470	0.00	0.00
26472	0.00	0.00
26474	-0.20	0.00
26477	-0.40	0.00
26479	-0.20	0.00
26481	-0.30	0.00
26484	-0.10	0.00
26486	0.10	0.00
26488	-0.20	0.00
26490	-0.10	0.00
26493	-0.20	0.00
26495	-0.40	0.00
26497	-0.20	0.00
26500	0.10	0.00
26502	-0.20	0.00
26504	-0.30	0.00
26507	-0.40	0.00
26509	0.10	0.00
26511	-0.40	0.00
26513	-0.30	0.00
26516	-0.10	0.00
26518	-0.30	0.00
26520	-0.20	0.00
26523	-0.10	0.00
26525	0.00	0.00
26527	-0.30	0.00
26530	0.10	0.00
26532	0.00	0.00
26534	0.00	0.00
26537	-0.10	0.00
26539	-0.20	0.00
26541	0.10	0.00
26543	0.10	0.00
26546	0.00	0.00
26548	-0.40	0.00
26550	-0.30	0.00
26553	-0.10	0.00
26555	0.10	0.00
26557	0.00	0.00
26559	0.00	0.00
26562	-0.30	0.00
26564	-0.10	0.00
26566	-0.10	0.00
26569	-0.10	0.00
26571	-0.10	0.00
26573	-0.20	0.00
26576	-0.20	0.00
26578	-0.10	0.00
26580	-0.10	0.00
26583	-0.10	0.00
26585	-0.30	0.00
26587	-0.10	0.00
26589	-0.10	0.00
26592	-0.30	0.00
26594	0.00	0.00
26596	-0.30	0.00
26599	-0.10	0.00
26601	0.10	0.00
26603	0.00	0.00
26606	0.10	0.00
26608	-0.10	0.00
26610	-0.20	0.00
26613	-0.10	0.00
26615	-0.10	0.00
26617	0.00	0.00
26619	0.00	0.00
26622	-0.10	0.00
26624	-0.40	0.00
26626	-0.20	0.00
26629	-0.10	0.00
26631	-0.20	0.00
26633	-0.20	0.00
26636	0.10	0.00
26638	-0.20	0.00
26640	0.00	0.00
26642	-0.20	0.00
26645	0.10	0.00
26647	0.10	0.00
26649	-0.10	0.00
26652	-0.30	0.00
26654	-0.20	0.00
26656	-0.20	0.00
26659	-0.20	0.00
26661	-0.20	0.00
26663	-0.20	0.00
26665	0.20	0.00
26668	-0.10	0.00
26670	-0.20	0.00
26672	-0.30	0.00
26675	0.20	0.00
26677	-0.20	0.00
26679	-0.40	0.00
26682	-0.10	0.00
26684	-0.10	0.00
26686	-0.30	0.00
26689	-0.30	0.00
26691	-0.10	0.00
26693	-0.20	0.00
26695	-0.20	0.00
26698	-0.40	0.00
26700	-0.10	0.00
26702	0.10	0.00
26705	-0.20	0.00
26707	-0.10	0.00
26709	-0.10	0.00
26712	-0.40	0.00
26714	-0.10	0.00
26716	-0.20	0.00
26719	-0.10	0.00
26721	0.00	0.00
26723	-0.60	0.00
26725	-0.10	0.00
26728	0.10	0.00
26730	0.00	0.00
26732	0.00	0.00
26735	-0.20	0.00
26737	-0.20	0.00
26739	0.00	0.00
26742	-0.20	0.00
26744	-0.10	0.00
26746	-0.40	0.00
26748	-0.30	0.00
26751	-0.10	0.00
26753	-0.10	0.00
26755	-0.40	0.00
26758	-0.30	0.00
26760	-0.20	0.00
26762	-0.20	0.00
26765	0.00	0.00
26767	0.00	0.00
26769	-0.40	0.00
26772	-0.10	0.00
26774	0.00	0.00
26776	-0.20	0.00
26778	-0.40	0.00
26781	-0.20	0.00
26783	-0.30	0.00
26785	-0.20	0.00
26788	-0.10	0.00
26790	0.00	0.00
26792	-0.10	0.00
26795	0.00	0.00
26797	0.10	0.00
26799	-0.10	0.00
26801	-0.10	0.00
26804	-0.20	0.00
26806	-0.10	0.00
26808	-0.20	0.00
26811	-0.30	0.00
26813	-0.30	0.00
26815	-0.20	0.00
26818	-0.10	0.00
26820	0.00	0.00
26822	-0.50	0.00
26825	0.00	0.00
26827	0.00	0.00
26829	-0.20	0.00
26831	-0.20	0.00
26834	-0.40	0.00
26836	-0.10	0.00
26838	-0.20	0.00
26841	-0.20	0.00
26843	0.00	0.00
26845	0.00	0.00
26848	0.00	0.00
26850	-0.10	0.00
26852	-0.20	0.00
26855	-0.10	0.00
26857	-0.10	0.00
26859	-0.20	0.00
26861	-0.10	0.00
26864	-0.30	0.00
26866	-0.10	0.00
26868	-0.30	0.00
26871	0.00	0.00
26873	0.00	0.00
26875	-0.10	0.00
26878	-0.10	0.00
26880	-0.20	0.00
26882	-0.20	0.00
26884	-0.10	0.00
26887	-0.10	0.00
26889	-0.20	0.00
26891	0.00	0.00
26894	-0.10	0.00
26896	-0.10	0.00
26898	-0.20	0.00
26901	0.10	0.00
26903	-0.10	0.00
26905	-0.10	0.00
26908	0.00	0.00
26910	0.00	0.00
26912	0.00	0.00
26914	0.00	0.00
26917	-0.40	0.00
26919	-0.20	0.00
26921	-0.10	0.00
26924	-0.10	0.00
26926	-0.20	0.00
26928	-0.10	0.00
26931	-0.10	0.00
26933	-0.30	0.00
26935	-0.10	0.00
26937	-0.10	0.00
26940	0.00	0.00
26942	-0.30	0.00
26944	-0.40	0.00
26947	0.10	0.00
26949	-0.10	0.00
26951	-0.10	0.00
26954	-0.20	0.00
26956	-0.30	0.00
26958	-0.10	0.00
26961	0.00	0.00
26963	-0.30	0.00
26965	0.00	0.00
26967	0.00	0.00
26970	-0.40	0.00
26972	-0.40	0.00
26974	-0.20	0.00
26977	-0.30	0.00
26979	-0.10	0.00
26981	-0.10	0.00
26984	-0.10	0.00
26986	-0.30	0.00
26988	0.10	0.00
26990	0.10	0.00
26993	-0.10	0.00
26995	-0.30	0.00
26997	-0.10	0.00
27000	0.10	0.00
27002	-0.30	0.00
27004	-0.10	0.00
27007	-0.10	0.00
27009	-0.10	0.00
27011	-0.20	0.00
27014	-0.30	0.00
27016	-0.30	0.00
27018	-0.40	0.00
27020	0.00	0.00
27023	-0.10	0.00
27025	-0.30	0.00
27027	0.00	0.00
27030	-0.10	0.00
27032	0.00	0.00
27034	-0.10	0.00
27037	-0.20	0.00
27039	-0.20	0.00
27041	-0.10	0.00
27043	-0.20	0.00
27046	-0.10	0.00
27048	-0.10	0.00
27050	-0.20	0.00
27053	-0.10	0.00
27055	-0.20	0.00
27057	-0.10	0.00
27060	-0.50	0.00
27062	-0.10	0.00
27064	-0.20	0.00
27067	0.10	0.00
27069	0.00	0.00
27071	0.10	0.00
27073	-0.20	0.00
27076	0.00	0.00
27078	0.00	0.00
27080	-0.40	0.00
27083	-0.20	0.00
27085	-0.10	0.00
27087	-0.30	0.00
27090	-0.30	0.00
27092	-0.10	0.00
27094	-0.20	0.00
27096	-0.10	0.00
27099	0.10	0.00
27101	-0.10	0.00
27103	-0.30	0.00
27106	-0.30	0.00
27108	-0.30	0.00
27110	-0.40	0.00
27113	0.00	0.00
27115	-0.20	0.00
27117	-0.20	0.00
27120	0.00	0.00
27122	0.30	0.00
27124	-0.50	0.00
27126	0.00	0.00
27129	-0.10	0.00
27131	-0.20	0.00
27133	-0.20	0.00
27136	-0.30	0.00
27138	-0.20	0.00
27140	0.00	0.00
27143	-0.10	0.00
27145	-0.10	0.00
27147	0.00	0.00
27149	-0.10	0.00
27152	-0.30	0.00
27154	0.00	0.00
27156	-0.20	0.00
27159	-0.20	0.00
27161	-0.30	0.00
27163	0.00	0.00
27166	-0.10	0.00
27168	-0.10	0.00
27170	0.00	0.00
27173	-0.40	0.00
27175	-0.10	0.00
27177	0.00	0.00
27179	0.00	0.00
27182	-0.30	0.00
27184	-0.20	0.00
27186	-0.20	0.00
27189	-0.20	0.00
27191	-0.20	0.00
27193	-0.10	0.00
27196	-0.20	0.00
27198	-0.20	0.00
27200	-0.10	0.00
27202	0.00	0.00
27205	-0.20	0.00
27207	-0.20	0.00
27209	-0.10	0.00
27212	0.00	0.00
27214	-0.20	0.00
27216	0.00	0.00
27219	-0.10	0.00
27221	-0.20	0.00
27223	-0.10	0.00
